date,iso_code,continent,location,total_cases,new_cases,total_deaths,new_deaths,new_tests,total_tests,total_vaccinations,people_vaccinated,people_fully_vaccinated,total_boosters,population,median_age,aged_65_older,aged_70_older,female_smokers,male_smokers
2021-11-03,ALB,Europe,Albania,186793.0,571.0,2940.0,3.0,4132.0,1273211.0,1926604.0,1025180.0,898625.0,2799.0,2872934.0,38.0,13.188,8.643,7.1,51.2
2021-11-06,ALB,Europe,Albania,187994.0,0.0,2948.0,0.0,3150.0,1283530.0,1944676.0,1031588.0,904858.0,8230.0,2872934.0,38.0,13.188,8.643,7.1,51.2
2021-11-07,ALB,Europe,Albania,189125.0,1131.0,2955.0,7.0,2659.0,1286189.0,1947148.0,1032457.0,905876.0,8815.0,2872934.0,38.0,13.188,8.643,7.1,51.2
2021-11-09,ALB,Europe,Albania,190125.0,770.0,2970.0,4.0,3393.0,1291543.0,1963359.0,1037546.0,910845.0,14968.0,2872934.0,38.0,13.188,8.643,7.1,51.2
2021-11-10,ALB,Europe,Albania,190815.0,690.0,2975.0,5.0,3596.0,1295139.0,1971973.0,1040015.0,913524.0,18434.0,2872934.0,38.0,13.188,8.643,7.1,51.2
2021-11-11,ALB,Europe,Albania,191440.0,625.0,2978.0,3.0,3230.0,1298369.0,1980231.0,1042227.0,916432.0,21572.0,2872934.0,38.0,13.188,8.643,7.1,51.2
2021-11-14,ALB,Europe,Albania,193075.0,475.0,2990.0,4.0,2209.0,1307219.0,2000104.0,1047822.0,924194.0,28088.0,2872934.0,38.0,13.188,8.643,7.1,51.2
2021-11-16,ALB,Europe,Albania,193856.0,587.0,3004.0,7.0,3662.0,1313468.0,2016954.0,1051540.0,930527.0,34887.0,2872934.0,38.0,13.188,8.643,7.1,51.2
2021-11-17,ALB,Europe,Albania,194472.0,616.0,3014.0,10.0,3218.0,1316686.0,2025561.0,1053553.0,933630.0,38378.0,2872934.0,38.0,13.188,8.643,7.1,51.2
2021-11-18,ALB,Europe,Albania,195021.0,549.0,3022.0,8.0,2964.0,1319650.0,2033766.0,1055690.0,936539.0,41537.0,2872934.0,38.0,13.188,8.643,7.1,51.2
2021-11-21,ALB,Europe,Albania,195988.0,0.0,3035.0,0.0,1740.0,1327891.0,2050342.0,1059927.0,942903.0,47512.0,2872934.0,38.0,13.188,8.643,7.1,51.2
2021-11-24,ALB,Europe,Albania,197776.0,609.0,3063.0,10.0,3598.0,1337457.0,2074670.0,1065961.0,951371.0,57338.0,2872934.0,38.0,13.188,8.643,7.1,51.2
2021-11-30,ALB,Europe,Albania,199945.0,195.0,3096.0,4.0,1400.0,1343423.0,2101039.0,1072645.0,961013.0,67381.0,2872934.0,38.0,13.188,8.643,7.1,51.2
2021-12-03,ALB,Europe,Albania,201045.0,406.0,3108.0,4.0,2503.0,1345926.0,2130714.0,1080490.0,971974.0,78250.0,2872934.0,38.0,13.188,8.643,7.1,51.2
2021-12-05,ALB,Europe,Albania,201730.0,328.0,3110.0,1.0,1796.0,1350345.0,2141863.0,1084071.0,975573.0,82219.0,2872934.0,38.0,13.188,8.643,7.1,51.2
2021-12-06,ALB,Europe,Albania,201902.0,172.0,3115.0,5.0,1440.0,1351785.0,2151065.0,1087187.0,978333.0,85545.0,2872934.0,38.0,13.188,8.643,7.1,51.2
2021-12-07,ALB,Europe,Albania,202295.0,393.0,3122.0,7.0,2793.0,1354578.0,2161198.0,1090591.0,981170.0,89437.0,2872934.0,38.0,13.188,8.643,7.1,51.2
2021-12-12,ALB,Europe,Albania,203787.0,263.0,3134.0,2.0,1752.0,1361117.0,2196145.0,1102621.0,992353.0,101171.0,2872934.0,38.0,13.188,8.643,7.1,51.2
2021-12-13,ALB,Europe,Albania,203925.0,138.0,3140.0,6.0,1836.0,1362953.0,2206089.0,1105501.0,995500.0,105088.0,2872934.0,38.0,13.188,8.643,7.1,51.2
2021-12-14,ALB,Europe,Albania,204301.0,376.0,3144.0,4.0,3279.0,1366232.0,2216402.0,1108572.0,998326.0,109504.0,2872934.0,38.0,13.188,8.643,7.1,51.2
2021-12-15,ALB,Europe,Albania,204627.0,326.0,3152.0,8.0,2601.0,1368833.0,2226267.0,1111494.0,1001189.0,113584.0,2872934.0,38.0,13.188,8.643,7.1,51.2
2021-12-18,ALB,Europe,Albania,205549.0,325.0,3161.0,3.0,3109.0,1376616.0,2251010.0,1119430.0,1008465.0,123115.0,2872934.0,38.0,13.188,8.643,7.1,51.2
2021-12-21,ALB,Europe,Albania,206273.0,376.0,3178.0,6.0,3275.0,1384767.0,2270522.0,1126181.0,1013806.0,130535.0,2872934.0,38.0,13.188,8.643,7.1,51.2
2021-12-23,ALB,Europe,Albania,206935.0,319.0,3181.0,1.0,3843.0,1392306.0,2286235.0,1131547.0,1018549.0,136139.0,2872934.0,38.0,13.188,8.643,7.1,51.2
2021-12-28,ALB,Europe,Albania,208352.0,643.0,3207.0,13.0,4384.0,1407760.0,2316606.0,1141486.0,1031132.0,143988.0,2872934.0,38.0,13.188,8.643,7.1,51.2
